apps/frappe/frappe/public/js/frappe/form/workflow.js +32, by Role ,par rôle
apps/frappe/frappe/model/naming.py +91, for {0},pour {0}
DocType: About Us Settings,"""Company History""","""L'historique de la société"""
apps/frappe/frappe/core/page/data_import_tool/exporter.py +69,"""Parent"" signifies the parent table in which this row must be added",«Parent» signifie la table parent dans lequel cette ligne doit être ajouté
DocType: About Us Settings,"""Team Members"" or ""Management""",&quot;Membres de l&#39;équipe&quot; ou &quot;gestion&quot;
DocType: Website Settings,&lt;head&gt; HTML,&lt;head&gt; HTML
apps/frappe/frappe/core/doctype/doctype/doctype.py +302,'In List View' not allowed for type {0} in row {1},« Dans la vu en liste » n'est pas permis pour le type {0} à la ligne {1}
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +58,(Ctrl + G),(Ctrl + G)
apps/frappe/frappe/model/rename_doc.py +346,** Failed: {0} to {1}: {2},** Échec: {0} à {1}: {2}
DocType: Currency,**Currency** Master,Maître **devise**
DocType: Workflow Document State,0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Brouillon; 1 - Soumis; 2 - Annulé
DocType: Web Page,0 is highest,0 est le plus élevé
DocType: Currency,"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +167,1 comment,1 commentaire
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +43,1 hour ago,
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +41,1 minute ago,
apps/frappe/frappe/public/js/frappe/list/listview.js +342,2 days ago,Il y a 2 jours
DocType: DocType,<a>Naming Options</a>,
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_layout.html +11,<span class=text-muted data-no-content=1>,<Span class = text-coupé de données sans contenu = 1>
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +49,> {0} year(s) ago,
apps/frappe/frappe/config/core.py +57,A log of request errors,Un journal des erreurs de demande
apps/frappe/frappe/templates/emails/new_user.html +3,A new account has been created for you at {0},Un nouveau compte a été créé pour vous à {0}
apps/frappe/frappe/desk/form/assign_to.py +153,"A new task, {0}, has been assigned to you by {1}. {2}","Une nouvelle tâche, {0}, vous a été attribuée par {1}. {2}"
DocType: Currency,A symbol for this currency. For e.g. $,Un symbole pour cette monnaie. Par exemple $
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +31,A user can be permitted to multiple records of the same DocType.,Un utilisateur peut être autorisé à plusieurs enregistrements du même type de document .
apps/frappe/frappe/public/js/frappe/ui/toolbar/offcanvas_left_sidebar.html +25,About,À propos
DocType: About Us Settings,About Us Settings,Paramètrages À propos
DocType: About Us Team Member,About Us Team Member,À propos du membre de l'équipe
DocType: Currency,Accounts User,Comptes utilisateur
DocType: Workflow Transition,Action,Action
DocType: Web Form,Actions,Actions
apps/frappe/frappe/config/setup.py +181,"Actions for workflow (e.g. Approve, Cancel).","Actions pour workflow (par exemple approuver, annuler ) ."
apps/frappe/frappe/core/doctype/user/user_list.js +12,Active,Actif
,Activity,Activité
apps/frappe/frappe/config/desk.py +39,Activity log of all users.,Journal d&#39;activité de tous les utilisateurs.
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +379,Add,Ajouter
apps/frappe/frappe/config/setup.py +128,Add / Manage Email Accounts.,Ajouter / Gérer les comptes de messagerie.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +306,Add A New Restriction,Ajouter une nouvelle restriction
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +366,Add A New Rule,Ajouter une nouvelle règle
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +302,Add A User Restriction,Ajouter une restriction de l&#39;utilisateur
apps/frappe/frappe/public/js/frappe/views/communication.js +272,Add Attachments,Ajouter des pièces jointes
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +631,Add Column,Ajouter une colonne
apps/frappe/frappe/public/js/frappe/ui/listing.html +6,Add Filter,Ajouter un filtre
DocType: Website Settings,Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,Ajouter l'identifiant de Google Analytics: par ex. UA-89XXX57-1. Veuillez chercher de l'aide sur Google Analytics pour plus d'informations.
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +370,Add New Permission Rule,Ajouter une nouvelle règle d&#39;autorisation
apps/frappe/frappe/public/js/frappe/views/communication.js +15,Add Reply,Ajouter une réponse
DocType: Email Account,Add Signature,Ajouter Signature
DocType: Report,Add Total Row,Ajouter une ligne totale
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +9,Add a New Role,Ajouter un nouveau rôle
DocType: Website Settings,Add a banner to the site. (small banners are usually good),Ajouter une bannière au site. (Les petites bannières vont généralement bien)
apps/frappe/frappe/public/js/frappe/form/footer/timeline.html +4,Add a comment,Ajouter un commentaire
apps/frappe/frappe/public/js/frappe/ui/tags.js +21,Add a tag,Ajouter un tag
apps/frappe/frappe/core/doctype/user/user.js +163,Add all roles,Ajouter tous les rôles
DocType: Web Page,Add code as &lt;script&gt;,Ajoutez le code en tant que &lt;script&gt;
apps/frappe/frappe/config/setup.py +238,Add custom forms.,Ajouter des formulaires personnalisés.
apps/frappe/frappe/config/setup.py +233,Add custom javascript to forms.,Ajouter du code javascript aux formulaires.
apps/frappe/frappe/config/setup.py +222,Add fields to forms.,Ajouter des champs aux formulaires .
apps/frappe/frappe/public/js/frappe/form/grid_body.html +12,Add multiple rows,Ajouter plusieurs lignes
apps/frappe/frappe/public/js/frappe/form/grid_body.html +14,Add new row,Ajouter une nouvelle ligne
DocType: Website Theme,"Add the name of a ""Google Web Font"" e.g. ""Open Sans""","Ajouter le nom d'une ""Google Web Font"" par exemple ""Open Sans"""
apps/frappe/frappe/public/js/frappe/views/reports/query_report.js +86,Add to Desktop,
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +158,Add to To Do,Ajouter à la liste des tâches
apps/frappe/frappe/config/setup.py +228,Add your own translations,
apps/frappe/frappe/desk/doctype/desktop_icon/desktop_icon.py +127,Added,Ajouté
DocType: Website Settings,"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","HTML ajoutée dans la section &lt;head&gt; de la page web, principalement utilisé pour la vérification de site et le référencement"
apps/frappe/frappe/utils/file_manager.py +43,Added {0},Ajouté {0}
apps/frappe/frappe/public/js/frappe/form/link_selector.js +126,Added {0} ({1}),Ajouté {0} ({1})
apps/frappe/frappe/core/doctype/user/user.py +71,Adding System Manager to this User as there must be atleast one System Manager,Ajout du rôle System Manager pour l'utilisateur car il doit y avoir au moins un System Manager
DocType: DocPerm,Additional Permissions,autorisations supplémentaires
DocType: Contact Us Settings,Address,Adresse
DocType: Contact Us Settings,Address Line 1,Adresse ligne 1
DocType: Contact Us Settings,Address Line 2,Adresse ligne 2
DocType: Contact Us Settings,Address Title,Nom de l'adresse
DocType: Website Settings,Address and other legal information you may want to put in the footer.,Adresse et autres informations juridiques que vous voudriez mettre dans le pied de page.
DocType: Custom Field,Adds a custom field to a DocType,Ajoute un champ personnalisé à un DocType
DocType: Custom Script,Adds a custom script (client or server) to a DocType,Ajoute un script personnalisé (client ou serveur) à un DocType
DocType: DocType,Administrator,Administrateur
apps/frappe/frappe/core/doctype/user/user.py +539,Administrator Logged In,Administrateur connecté
apps/frappe/frappe/core/doctype/user/user.py +530,Administrator accessed {0} on {1} via IP Address {2}.,L'administrateur a accedé à {0} sur {1} avec l'adresse IP {2}.
DocType: Web Form,Advanced,Avancé
apps/frappe/frappe/public/js/frappe/form/control.js +1173,Advanced Search,Recherche avancée
apps/frappe/frappe/public/js/frappe/ui/editor.html +55,Align Left (Ctrl/Cmd+L),Aligner à gauche (Ctrl / Cmd + L)
DocType: Communication,All,Tous
DocType: Event,All Day,Toute la journée
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +130,All customizations will be removed. Please confirm.,Toutes les personnalisations seront supprimés. Veuillez confirmer.
DocType: Workflow,"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Toutes possible Unis workflow et les rôles du workflow. Options de Docstatus: 0 est &quot;Saved&quot;, 1 est &quot;soumis&quot; et 2 est «ANNULÉ»"
DocType: ToDo,Allocated To,Allouées à
DocType: Web Form,Allow Comments,Autoriser les commentaires
DocType: Web Form,Allow Delete,Autoriser la suppression
DocType: Dropbox Backup,Allow Dropbox Access,Autoriser l'accès au Dropbox
DocType: Web Form,Allow Edit,Autoriser la modification
DocType: DocType,Allow Import,Permettre l&#39;importation
DocType: DocType,Allow Import via Data Import Tool,Autoriser l&#39;importation via l&#39;outil d&#39;importation de données
DocType: Web Form,Allow Multiple,Autoriser plusieurs
DocType: DocType,Allow Rename,Permettre de Renommer
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +251,Allow User,Permettre à l&#39;utilisateur
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +222,Allow field to remain editable even after submission,"Autoriser la modification, même après la soumission"
DocType: DocField,Allow on Submit,Permettre de Soumettre
DocType: System Settings,Allow only one session per user,
DocType: User,Allow user to login only after this hour (0-24),Permettre à l&#39;utilisateur de se connecter seulement après cette heure (0-24)
DocType: User,Allow user to login only before this hour (0-24),Permettre à l&#39;utilisateur de se connecter seulement avant cette heure (0-24)
DocType: Workflow Transition,Allowed,Authorisé
apps/frappe/frappe/public/js/legacy/form.js +62,"Allowing DocType, DocType. Be careful!",Vous ne pouvez pas ouvrir {0} lorsque son instance est ouverte
apps/frappe/frappe/core/doctype/user/user.py +413,Already Registered,Déjà inscrit
apps/frappe/frappe/desk/form/assign_to.py +41,Already in user's To Do list,Déjà dans la liste des tâches de l'utilisateur
apps/frappe/frappe/desk/doctype/desktop_icon/desktop_icon.py +132,Already on desktop,
DocType: Email Account,Always use Account's Email ID as Sender,Toujours utiliser Email ID compte que l&#39;expéditeur
DocType: DocPerm,Amend,Modifier
apps/frappe/frappe/public/js/frappe/form/save.js +14,Amending,Amendement
DocType: Website Settings,An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Un fichier d&#39;icône avec .ico. Devrait être 16 x 16 px. Généré en utilisant un générateur de favicon. [favicon-generator.org]
apps/frappe/frappe/public/js/frappe/request.js +92,Another transaction is blocking this one. Please try again in a few seconds.,Une autre transaction bloque celui-ci. S&#39;il vous plaît essayer de nouveau dans quelques secondes.
apps/frappe/frappe/model/rename_doc.py +95,"Another {0} with name {1} exists, select another name","Un autre {0} avec le nom {1} existe, choisir un autre nom"
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +133,Any existing permission will be deleted / overwritten.,Toute autorisation existante sera supprimée / écrasée.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +19,"Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes.","Outre les règles d'autorisation de rôle basé , vous pouvez appliquer des autorisations des utilisateurs sur la base de DocTypes ."
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +36,"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","En dehors de System Manager, les rôles avec Définir les autorisations de droit d'utilisateur peut définir des autorisations pour d'autres utilisateurs pour ce type de document."
DocType: Desktop Icon,App,
,App Installer,App Installer
DocType: Module Def,App Name,Nom de l'application
apps/frappe/frappe/modules/__init__.py +81,App not found,Application introuvable
apps/frappe/frappe/__init__.py +785,App {0} is not installed,App {0} n'est pas installé
DocType: Email Account,Append To,Pour ajouter
apps/frappe/frappe/email/doctype/email_account/email_account.py +70,Append To can be one of {0},Ajouter à peut être l&#39;un des {0}
apps/frappe/frappe/email/doctype/email_account/email_account.py +52,Append To is mandatory for incoming mails,Ajouter à est obligatoire pour les mails entrants
DocType: Email Account,"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","Ajouter que la communication contre cette DocType (doit avoir des champs, ""Status"", ""Subject"")"
apps/frappe/frappe/config/setup.py +192,Application Installer,Installer des applications
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +433,Apply Rule,Appliquer la règle
DocType: Website Theme,Apply Style,appliquer le style
DocType: DocPerm,Apply User Permissions,Appliquer les autorisations par utilisateurs
